"export-plot data (NetLogo 5.3.1)"
"projet.nlogo"
"11/27/2016 19:10:22:968 +0100"

"MODEL SETTINGS"
"typecyan","noisevalue","nbagentsblack","nbagentsred","x","nbagentsyellow","typered","typeyellow","y","typegreen","nbagentssimulation","noiseswitch","effortwindow","stdtolerancesimulation","nbagentsviolet","nbagentsgreen","nbagentscyan","typeblack","nbtestssimulation","nbagenttypes","typeviolet"
"9","45","900","900","30","0","5","9","30","9","900","true","true","1.0E-4","0","0","0","7","500","1","9"

"""Figure 9"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","231","0","2.1","true","""Noise : high level""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""Perfect Observability""","true","0","1","15","201"
"""Noise : low level""","true","0","1","25","201"
"""Noise : medium level""","true","0","1","35","201"
"""Noise : high level""","true","0","1","45","201"

"""Perfect Observability""",,,,"""Noise : low level""",,,,"""Noise : medium level""",,,,"""Noise : high level"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"2","2.001","15","true","2","1.960687","25","true","2","1.915815","35","true","2","1.884218","45","true"
"3","2.001","15","true","3","1.938998","25","true","3","1.881752","35","true","3","1.819757","45","true"
"4","2.001","15","true","4","1.917257","25","true","4","1.834497","35","true","4","1.761497","45","true"
"5","2.001","15","true","5","1.889167","25","true","5","1.786272","35","true","5","1.686765","45","true"
"6","2.001","15","true","6","1.862505","25","true","6","1.741346","35","true","6","1.610966","45","true"
"7","2.001","15","true","7","1.835611","25","true","7","1.700172","35","true","7","1.541914","45","true"
"8","2.001","15","true","8","1.815104","25","true","8","1.652267","35","true","8","1.487416","45","true"
"9","2.001","15","true","9","1.792543","25","true","9","1.599621","35","true","9","1.421171","45","true"
"10","2.001","15","true","10","1.76942","25","true","10","1.54361","35","true","10","1.354336","45","true"
"11","2.001","15","true","11","1.74717","25","true","11","1.503452","35","true","11","1.271995","45","true"
"12","2.001","15","true","12","1.717113","25","true","12","1.451882","35","true","12","1.20018","45","true"
"13","2.001","15","true","13","1.680449","25","true","13","1.401618","35","true","13","1.119277","45","true"
"14","2.001","15","true","14","1.65562","25","true","14","1.349494","35","true","14","1.064967","45","true"
"15","2.001","15","true","15","1.630278","25","true","15","1.298948","35","true","15","1.020444","45","true"
"16","2.001","15","true","16","1.606429","25","true","16","1.253556","35","true","16","0.968356","45","true"
"17","2.001","15","true","17","1.573904","25","true","17","1.204265","35","true","17","0.90946","45","true"
"18","2.001","15","true","18","1.543839","25","true","18","1.153194","35","true","18","0.865686","45","true"
"19","2.001","15","true","19","1.517747","25","true","19","1.109548","35","true","19","0.806715","45","true"
"20","2.001","15","true","20","1.492607","25","true","20","1.064227","35","true","20","0.757692","45","true"
"21","2.001","15","true","21","1.461857","25","true","21","1.015535","35","true","21","0.71659","45","true"
"22","2.001","15","true","22","1.431975","25","true","22","0.978271","35","true","22","0.668472","45","true"
"23","2.001","15","true","23","1.406027","25","true","23","0.934331","35","true","23","0.624068","45","true"
"24","2.001","15","true","24","1.378539","25","true","24","0.891063","35","true","24","0.587215","45","true"
"25","2.001","15","true","25","1.356594","25","true","25","0.858511","35","true","25","0.550854","45","true"
"26","2.001","15","true","26","1.330623","25","true","26","0.822929","35","true","26","0.513989","45","true"
